"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"2062","코스닥","222080","씨아이에스","기계·장비",3935,65,221664790910
"2063","코스닥","144960","뉴파워프라즈마","기계·장비",3110,65,128292740350
"2064","코스닥","217820","엔에스","기계·장비",6300,-30,6.174e+10
"2065","코스닥","160600","이큐셀","기계·장비",310,0,9342222930
"2066","코스닥","053590","한국테크놀로지","기계·장비",1575,0,132627001500
"2067","코스닥","195990","에이비프로바이오","기계·장비",618,0,122207429082
"2068","코스닥","196490","디에이테크놀로지","기계·장비",915,-62,52650218130
"2069","코스닥","123840","한일진공","기계·장비",615,0,34566675855
"2070","코스닥","158310","스타모빌리티","기계·장비",505,0,6096179210
"2071","코스닥","141070","맥스로텍","기계·장비",1255,20,39684417750
"2072","코스닥","137400","피엔티","기계·장비",9350,50,186997110850
"2073","코스닥","101000","상상인인더스트리","기계·장비",984,10,62307473352
"2074","코스닥","056080","유진로봇","기계·장비",2220,25,83276977440
"2075","코스닥","036090","위지트","기계·장비",627,12,52663602222
"2076","코스닥","018000","유니슨","기계·장비",903,-6,84521347218
"2077","코스닥","126870","뉴로스","기계·장비",2635,5,59712915480
"2078","코스닥","100660","서암기계공업","기계·장비",4990,130,6.2874e+10
"2079","코스닥","136510","쎄미시스코","기계·장비",5430,100,2.9322e+10
"2080","코스닥","007820","에스엠코어","기계·장비",7890,330,158067833940
"2081","코스닥","090360","로보스타","기계·장비",14850,300,144787500000
"2082","코스닥","099440","스맥","기계·장비",1825,25,51896296775
"2083","코스닥","019770","서연탑메탈","기계·장비",2170,25,25280500000
"2084","코스닥","126880","제이엔케이히터","기계·장비",4250,55,94947877250
"2085","코스닥","105740","디케이락","기계·장비",7230,0,61092863760
"2086","코스닥","050860","아세아텍","기계·장비",3105,60,54337500000
"2087","코스닥","104460","디와이피엔에프","기계·장비",9350,290,100172393750
"2088","코스닥","109740","디에스케이","기계·장비",7670,-10,156121032210
"2089","코스닥","108230","톱텍","기계·장비",20800,850,790883496000
"2090","코스닥","103230","에스앤더블류","기계·장비",2180,5,1.5696e+10
"2091","코스닥","101680","한국정밀기계","기계·장비",2515,0,21136060000
"2092","코스닥","010240","흥국","기계·장비",3580,50,44115251680
"2093","코스닥","101170","우림기계","기계·장비",2620,40,3.537e+10
"2094","코스닥","071670","에이테크솔루션","기계·장비",6130,330,6.13e+10
"2095","코스닥","098460","고영","기계·장비",82700,3200,1135549647700
"2096","코스닥","068330","일신바이오","기계·장비",2325,40,102802525500
"2097","코스닥","086670","비엠티","기계·장비",5940,40,48390382260
"2098","코스닥","095190","이엠코리아","기계·장비",3430,30,124621174720
"2099","코스닥","088130","동아엘텍","기계·장비",6970,40,74320677860
"2100","코스닥","090710","휴림로봇","기계·장비",858,3,71256165552
"2101","코스닥","086250","이노와이즈","기계·장비",1430,-40,44058548820
"2102","코스닥","054950","제이브이엠","기계·장비",22700,850,143711611600
"2103","코스닥","079370","제우스","기계·장비",9400,50,97609600000
"2104","코스닥","019990","에너토크","기계·장비",3510,40,34243868880
"2105","코스닥","084180","수성","기계·장비",1575,-130,20744662050
"2106","코스닥","083650","비에이치아이","기계·장비",1835,55,4.771e+10
"2107","코스닥","083930","아바코","기계·장비",6440,80,103017492200
"2108","코스닥","082270","젬백스","기계·장비",22550,-400,885344637650
"2109","코스닥","079950","인베니아","기계·장비",1705,5,3.9556e+10
"2110","코스닥","079810","디이엔티","기계·장비",3360,270,42345905280
"2111","코스닥","080000","에스엔유","기계·장비",3080,50,105714439600
"2112","코스닥","049950","미래컴퍼니","기계·장비",27300,750,228290953800
"2113","코스닥","073010","케이에스피","기계·장비",1405,15,50850121085
"2114","코스닥","078150","HB테크놀러지","기계·장비",2375,75,187602261750
"2115","코스닥","068790","DMS","기계·장비",3990,35,92019323130
"2116","코스닥","041440","에버다임","기계·장비",3700,-10,66288992800
"2117","코스닥","065130","탑엔지니어링","기계·장비",9310,320,148738952670
"2118","코스닥","054300","팬스타엔터프라이즈","기계·장비",826,-4,43214641568
"2119","코스닥","056190","에스에프에이","기계·장비",34750,1400,1247829410000
"2120","코스닥","051490","나라엠앤디","기계·장비",3310,110,4.7002e+10
"2121","코스닥","048770","TPC","기계·장비",3040,120,40980039040
"2122","코스닥","044780","에이치케이","기계·장비",1225,5,22669589075
"2123","코스닥","044060","조광ILI","기계·장비",6240,110,61686493440
"2124","코스닥","043340","에쎈테크","기계·장비",1295,10,9.324e+10
"2125","코스닥","039610","화성밸브","기계·장비",5700,100,59339280000
"2126","코스닥","036890","진성티이씨","기계·장비",5480,60,123202828640
"2127","코스닥","036560","영풍정밀","기계·장비",6560,40,1.0332e+11
"2128","코스닥","033540","파라텍","기계·장비",5440,635,92391273600
"2129","코스닥","013810","스페코","기계·장비",4580,245,67122052600
"2130","코스닥","008830","대동기어","기계·장비",2285,50,20536483200
"2131","코스닥","204270","제이앤티씨","일반전기전자",10350,350,598731623100
"2132","코스닥","294630","서남","일반전기전자",3220,20,65575815200
"2133","코스닥","307180","아이엘사이언스","일반전기전자",1820,-20,35676136860
"2134","코스닥","062970","피피아이","일반전기전자",9070,-20,84425237950
"2135","코스닥","264850","이랜시스","일반전기전자",1825,-10,49369556900
"2136","코스닥","317120","라닉스","일반전기전자",7490,360,70671895000
"2137","코스닥","317770","슈프리마아이디","일반전기전자",14050,250,42044906000
"2138","코스닥","148150","세경하이테크","일반전기전자",26400,400,307348800000
"2139","코스닥","313760","윌링스","일반전기전자",8650,170,42056300000
"2140","코스닥","312610","에이에프더블류","일반전기전자",9810,160,99360035640
"2141","코스닥","247540","에코프로비엠","일반전기전자",72600,100,1521998451600
"2142","코스닥","100590","머큐리","일반전기전자",9810,-20,144830916000
"2143","코스닥","077360","덕산하이메탈","일반전기전자",5840,100,132676045840
"2144","코스닥","230240","에치에프알","일반전기전자",35900,-450,430154518000
"2145","코스닥","227100","디자인","일반전기전자",6990,60,18599760900
"2146","코스닥","288620","에스퓨얼셀","일반전기전자",18350,100,105408198600
"2147","코스닥","037030","파워넷","일반전기전자",3830,60,50784321620
